jobID,job_category
1,IT
2,IT
3,IT
4,IT
5,IT
6,IT
7,IT
8,IT
9,IT
10,IT
11,IT
12,IT
13,IT
14,IT
15,IT
16,IT
17,IT
18,IT
19,IT
20,IT
21,IT
22,IT
23,IT
24,IT
25,IT
26,IT
27,IT
28,IT
29,Finance
30,Finance
31,Finance
32,Finance
34,Finance
35,Finance
36,Finance
37,Finance
38,Finance
39,Finance
40,Finance
41,Finance
42,Finance
43,Finance
44,Finance
45,Finance
46,Finance
47,Finance
48,Retail
49,Retail
50,Retail
52,Retail
53,Retail
54,Retail
55,Retail
57,Retail
58,Retail
59,Retail
60,Retail
61,Retail
62,Retail
63,Retail
64,Retail
65,Retail
66,Retail
68,Retail
69,Retail
70,Retail
71,Retail
72,Retail
73,Retail
74,Retail
76,Retail
77,Retail
78,Retail
79,Retail
80,Retail
81,Retail
82,Retail
83,Retail
84,IT
85,IT
86,IT
87,IT
88,IT
89,IT
92,IT
93,IT
94,IT
95,IT
96,IT
97,IT
98,IT
99,IT
100,IT
101,IT
102,IT
103,IT
104,IT
105,IT
107,IT
108,IT
110,IT
111,IT
112,IT
113,IT
114,IT
116,IT
117,IT
118,IT
119,IT
121,IT
122,IT
123,IT
124,IT
125,IT
126,IT
129,IT
130,IT
131,IT
132,IT
135,IT
137,IT
140,IT
141,IT
144,IT
145,IT
146,IT
147,IT
148,IT
149,IT
150,IT
151,IT
152,IT
153,IT
154,IT
155,IT
156,IT
157,IT
158,IT
159,IT
160,IT
161,IT
162,IT
163,IT
164,IT
165,IT
166,IT
167,IT
168,IT
169,IT
170,IT
171,IT
172,IT
173,IT
174,IT
175,IT
176,IT
177,IT
178,IT
179,Banking
180,Banking
181,Banking
183,Banking
184,Banking
185,Banking
186,Banking
187,Banking
188,Banking
189,Banking
190,Banking
191,Banking
193,Banking
194,Banking
195,Banking
196,Banking
198,Banking
199,Banking
200,Banking
201,Banking
202,Banking
203,Banking
204,Banking
205,Banking
206,Banking
207,Banking
208,Banking
209,Banking
211,Banking
213,Banking
214,Banking
215,Banking
216,Banking
217,Banking
218,Banking
219,Banking
220,Banking
222,Banking
223,Banking
224,Banking
225,Banking
227,Banking
228,Banking
229,Banking
230,Banking
231,Banking
232,Banking
233,Banking
234,Banking
235,Banking
236,Banking
237,Banking
238,Banking
239,Banking
240,Banking
241,Banking
242,Banking
243,Banking
244,Banking
245,Banking
246,Banking
247,Banking
248,Banking
249,Banking
250,Banking
251,Banking
252,Banking
253,Banking
254,Banking
255,Banking
256,HR
257,HR
258,HR
259,HR
260,HR
261,HR
262,HR
263,HR
264,HR
265,HR
266,HR
267,HR
268,HR
269,HR
270,HR
271,HR
272,HR
273,HR
274,HR
275,HR
276,HR
277,HR
278,HR
279,HR
280,HR
281,HR
282,HR
283,HR
285,HR
287,HR
288,HR
289,HR
290,HR
291,HR
292,HR
293,HR
294,HR
295,HR
296,HR
299,HR
300,HR
301,HR
302,HR
303,HR
304,HR
305,HR
306,HR
307,HR
308,HR
309,HR
312,HR
313,HR
314,HR
315,HR
316,HR
317,HR
318,HR
319,HR
320,HR
321,HR
322,HR
324,HR
