userId,jobId,Clicks
1,31,3
1,1029,66
1,1061,93
1,1129,0
1,1172,77
1,1263,30
1,1287,38
1,1293,44
1,1339,17
1,1343,76
1,1371,12
1,1405,1
1,1953,11
1,2105,88
1,2150,20
1,2193,61
1,2294,46
1,2455,18
1,2968,61
1,3671,30
2,10,83
2,17,19
2,39,68
2,47,99
2,50,40
2,52,98
2,62,46
2,110,13
2,144,94
2,150,28
2,153,34
2,161,39
2,165,85
2,168,33
2,185,27
2,186,56
2,208,30
2,222,65
2,223,73
2,225,28
2,235,9
2,248,17
2,253,64
2,261,34
2,265,70
2,266,54
2,272,51
2,273,26
2,292,26
2,296,77
2,300,69
2,314,78
2,317,57
2,319,36
2,339,74
2,349,47
2,350,36
2,356,55
2,357,54
2,364,67
2,367,74
2,370,8
2,371,72
2,372,20
2,377,75
2,382,77
2,405,58
2,410,56
2,454,69
2,457,46
2,468,71
2,474,60
2,480,95
2,485,95
2,497,53
2,500,43
2,508,43
2,509,85
2,515,87
2,527,46
2,537,25
2,539,73
2,550,37
2,551,46
2,552,45
2,585,22
2,586,19
2,587,90
2,588,9
2,589,5
2,590,71
2,592,68
2,593,85
2,616,13
2,661,66
2,720,33
3,60,89
3,110,43
3,247,70
3,267,41
3,296,67
3,318,52
3,355,45
3,356,43
3,377,57
3,527,12
3,588,38
3,592,76
3,593,29
3,595,38
3,736,11
3,778,86
3,866,70
3,1197,70
3,1210,58
3,1235,71
3,1271,45
3,1378,67
3,1580,26
3,1721,73
3,1884,56
3,2028,74
3,2318,61
3,2513,34
3,2694,5
3,2702,1
3,2716,74
3,2762,42
3,2841,20
3,2858,33
3,2959,12
3,3243,3
3,3510,25
3,3949,87
3,5349,6
3,5669,67
3,6377,8
3,7153,12
3,7361,5
3,8622,56
3,8636,39
3,27369,84
3,44191,74
3,48783,63
3,50068,10
3,58559,86
3,84236,35
4,10,45
4,34,83
4,112,96
4,141,10
4,153,53
4,173,12
4,185,31
4,260,1
4,289,58
4,296,89
4,329,40
